scraping_timestamp,league,date,time,home,away,status,team,position,player,playing
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,MC,M. Munetsi,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,MR,Maxime Busi,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,AMC,K. Doumbia,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,FW,F. Balogun,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,FW,Junya Ito,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,F,Alexis Flips,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,M,V. Berisha,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,M/D,Thomas Foket,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,M,A. Matusiwa,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Reims,F,Kaj Sierhuis,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,GK,A. Nubel,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,DC,Malang Sarr,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,DC,B. Badiashile,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,DC,Axel Disasi,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,ML,Caio Henrique,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,MC,Y. Fofana,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,MC,M. Camara,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,MR,Vanderson,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,FWL,A. Golovin,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,FWR,K. Diatta,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,FW,Breel Embolo,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,D,G. Maripan,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,7:00 AM ET,Reims,Monaco,Expected Lineup,Monaco,F,K. Volland,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,GK,Marco Bizot,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,DL,J. Duverne,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,DC,L. Brassier,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,DC,B. Chardonnet,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,DC,C. Herelle,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,DR,Noah Fadiga,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,MC,P. Lees-Melou,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,MC,H. Belkebla,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,MC,Mahdi Camara,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,FW,F. Honorat,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,FW,I. Slimani,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,F/M,R. Del Castillo,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,F,Steve Mounie,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,F/M,Y. Belaili,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Brest,F,J. Le Douaron,NO
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,GK,B. Leroy,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,DL,I. Diallo,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,DC,O. Gonzalez,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,DC,C. Vidal,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,DR,M. Youssouf,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,ML,M. El Idrissy,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,MC,M. Coutadeur,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,MC,V. Marchetti,YES
2022-09-18 14:45:37,Ligue 1,2022-09-18,9:00 AM ET,Brest,Ajaccio,Expected Lineup,Ajaccio,MR,C. Bayala,YES
